Geneid	wt-phage-35_R1	wt-phage-35_R3	wt-phage-35_R4	wt-phage-35_R5	wt-phage-60_R1	wt-phage-60_R2	wt-phage-60_R3	wt-phage-60_R4	wt-phage-120_R1	wt-phage-120_R2	wt-phage-120_R3	wt-phage-120_R4	Entity	Symbol	is_outlier	outlier_info
gene-R0792_RS00490	144	118	103	96	52	116	103	104	101	46	80	58	host	gene-R0792_RS00490	False	
gene-R0792_RS26840	77	77	85	69	42	85	64	47	62	32	68	66	host	katB	False	
gene-R0792_RS22645	30	38	35	26	23	42	38	23	51	24	55	25	host	gbcA	False	
gene-R0792_RS06000	113	111	141	112	52	131	150	84	97	49	90	85	host	gene-R0792_RS06000	False	
gene-R0792_RS04225	10	16	18	8	6	9	17	8	21	11	22	9	host	gene-R0792_RS04225	False	
gene-R0792_RS26720	14	6	12	12	1	9	15	11	24	6	13	9	host	gene-R0792_RS26720	False	
gene-R0792_RS22255	39	41	35	34	22	62	25	41	50	17	35	31	host	gene-R0792_RS22255	False	
gene-R0792_RS05475	9	35	38	27	5	9	17	8	6	2	7	1	host	gene-R0792_RS05475_gene_phzD	False	
gene-R0792_RS27550	56	84	70	75	64	129	104	90	80	71	95	66	host	gene-R0792_RS27550	False	
gene-R0792_RS06505	10	19	20	17	6	8	10	9	16	15	28	11	host	gene-R0792_RS06505	False	
gene-R0792_RS05010	154	163	176	151	118	158	145	131	169	107	138	119	host	gloB	False	
gene-R0792_RS02260	4	5	8	4	3	6	8	5	16	1	5	3	host	cobT	False	
gene-R0792_RS17750	3	5	1	8	2	10	2	4	5	3	6	4	host	gene-R0792_RS17750	False	
gene-R0792_RS19615	142	145	138	149	75	173	143	123	186	120	174	155	host	gene-R0792_RS19615	False	
gene-R0792_RS06630	26	18	29	15	19	24	31	24	49	23	37	31	host	gene-R0792_RS06630	False	
gene-R0792_RS23870	122	155	108	108	73	145	129	98	187	103	156	136	host	nudE	False	
gene-R0792_RS18905	15	20	23	9	7	27	18	20	22	19	22	16	host	gene-R0792_RS18905	False	
gene-R0792_RS05535	92	94	92	90	48	130	120	89	125	101	135	134	host	gene-R0792_RS05535	False	
gene-R0792_RS17450	6	8	14	7	3	19	19	11	18	9	18	9	host	gene-R0792_RS17450	False	
gene-R0792_RS22265	127	136	131	122	63	105	123	91	140	63	118	75	host	gene-R0792_RS22265	False	
gene-R0792_RS14825	268	251	266	256	125	313	253	225	251	127	226	202	host	gene-R0792_RS14825	False	
gene-R0792_RS11915	248	245	216	197	125	267	192	194	188	136	217	175	host	gene-R0792_RS11915	False	
gene-R0792_RS24820	24	30	26	35	6	26	27	13	33	10	32	26	host	gene-R0792_RS24820	False	
gene-R0792_RS21930	151	161	128	126	111	200	169	145	177	94	175	146	host	gene-R0792_RS21930	False	
gene-R0792_RS00865	22	25	17	11	10	25	16	15	26	17	17	14	host	gene-R0792_RS00865	False	
gene-R0792_RS08175	9	15	11	7	8	7	11	4	13	4	4	9	host	gene-R0792_RS08175	False	
gene-R0792_RS22555	47	65	61	44	15	52	64	37	68	25	45	32	host	gene-R0792_RS22555	False	
gene-R0792_RS09875	11	16	23	14	12	25	16	10	20	8	20	21	host	gene-R0792_RS09875	False	
gene-R0792_RS25235	5	9	9	13	4	9	6	9	7	5	7	3	host	livM	False	
gene-R0792_RS13740	40	32	47	27	25	37	29	33	31	18	39	27	host	gene-R0792_RS13740	False	
gene-R0792_RS11820	30	34	41	31	18	45	30	33	31	24	40	33	host	pelG	False	
gene-R0792_RS21085	9	8	17	13	2	18	13	8	26	11	12	9	host	gene-R0792_RS21085	False	
gene-R0792_RS04930	42	38	51	44	26	65	47	42	59	44	55	42	host	parS	False	
gene-R0792_RS22495	86	114	147	94	47	151	117	80	156	65	123	95	host	gene-R0792_RS22495_gene_zwf	False	
gene-R0792_RS05365	16	42	36	18	14	19	19	17	20	8	27	13	host	gene-R0792_RS05365	False	
gene-R0792_RS29805	408	475	444	433	179	458	413	306	431	237	321	329	host	putP	False	
gene-R0792_RS26995	36	55	50	52	34	62	59	44	70	43	61	46	host	gene-R0792_RS26995	False	
gene-R0792_RS17725	0	1	1	2	0	2	1	1	2	1	5	0	host	fepB	False	
gene-R0792_RS27640	11	13	6	10	5	10	9	13	10	7	9	5	host	gene-R0792_RS27640_gene_pilP	False	
gene-R0792_RS15990	172	232	224	194	87	197	201	143	213	113	208	121	host	queA	False	
gene-R0792_RS14570	165	180	190	174	81	241	169	162	197	343	170	158	host	gene-R0792_RS14570	False	
gene-R0792_RS10510	151	155	143	159	105	179	144	128	175	141	168	159	host	gene-R0792_RS10510	False	
gene-R0792_RS12610	137	146	141	117	49	161	129	104	136	84	118	91	host	gene-R0792_RS12610	False	
gene-R0792_RS06095	91	83	117	91	52	133	118	74	84	49	108	75	host	gene-R0792_RS06095	False	
gene-R0792_RS20075	216	231	229	192	148	242	179	177	180	102	193	151	host	gene-R0792_RS20075	False	
gene-R0792_RS19630	13	9	15	10	6	26	15	10	26	9	7	14	host	gene-R0792_RS19630	False	
gene-R0792_RS17355	0	1	0	1	1	2	2	3	0	1	4	2	host	gene-R0792_RS17355	False	
gene-R0792_RS07625	17	18	27	9	12	28	20	23	28	11	20	16	host	gene-R0792_RS07625	False	
gene-R0792_RS02990	52	51	48	41	27	61	59	35	68	33	41	45	host	gene-R0792_RS02990	False	
gene-R0792_RS25205	75	108	73	79	28	68	55	64	112	32	72	56	host	gene-R0792_RS25205	False	
gene-R0792_RS21990	8	10	10	9	2	10	10	8	13	8	8	13	host	folE2	False	
gene-R0792_RS26940	109	113	84	93	82	158	137	88	118	86	122	129	host	gene-R0792_RS26940	False	
gene-R0792_RS28190	6	11	14	12	6	18	14	10	14	5	13	13	host	gene-R0792_RS28190	False	
gene-R0792_RS07000	1	4	3	5	0	4	2	2	5	2	3	2	host	gene-R0792_RS07000	False	
gene-R0792_RS11245	64	62	100	53	28	65	71	55	82	58	71	47	host	gene-R0792_RS11245	False	
gene-R0792_RS05275	3	4	5	4	1	7	13	5	10	5	14	0	host	gene-R0792_RS05275	False	
gene-R0792_RS10590	461	205	190	168	238	328	286	320	193	163	222	217	host	gene-R0792_RS10590	False	
gene-R0792_RS10675	15	12	19	9	8	16	10	13	12	10	10	6	host	gene-R0792_RS10675	False	
gene-R0792_RS02880	13	17	6	10	7	22	17	20	22	13	7	7	host	gene-R0792_RS02880	False	
gene-R0792_RS10885	119	138	137	135	62	144	106	101	98	63	91	74	host	gene-R0792_RS10885	False	
gene-R0792_RS26790	367	419	417	354	208	486	392	319	358	192	315	281	host	gene-R0792_RS26790	False	
gene-R0792_RS26415	130	136	127	117	71	148	132	124	169	82	148	126	host	gene-R0792_RS26415	False	
gene-R0792_RS03095	114	125	139	116	58	127	120	97	100	27	96	71	host	flhB	False	
gene-R0792_RS20415	307	302	352	287	159	356	295	233	362	193	311	238	host	gabD	False	
gene-R0792_RS19900	78	89	106	95	32	90	72	49	38	21	45	47	host	gene-R0792_RS19900	False	
gene-R0792_RS06770	8	1	4	6	4	3	6	6	1	2	3	3	host	gene-R0792_RS06770	False	
gene-R0792_RS05125	29	28	26	28	20	36	32	19	36	26	33	19	host	gene-R0792_RS05125	False	
gene-R0792_RS24275	19	31	27	13	16	40	19	25	44	19	39	24	host	gene-R0792_RS24275	False	
gene-R0792_RS05855	15	16	12	16	3	12	14	8	16	5	13	9	host	agmR	False	
gene-R0792_RS19835	39	51	51	36	18	39	49	29	54	39	37	39	host	gene-R0792_RS19835	False	
gene-R0792_RS21720	72	94	98	89	42	103	70	63	94	58	91	89	host	gene-R0792_RS21720	False	
gene-R0792_RS14260	22	23	22	20	20	22	15	25	22	20	18	25	host	gene-R0792_RS14260	False	
gene-R0792_RS03565	75	55	66	48	46	133	108	83	425	259	424	269	host	gene-R0792_RS03565	False	
gene-R0792_RS27940	340	376	325	318	303	440	320	348	410	328	436	365	host	gene-R0792_RS27940	False	
gene-R0792_RS19815	71	76	97	65	30	71	71	45	116	56	85	48	host	gene-R0792_RS19815	False	
gene-R0792_RS28200	102	110	76	64	76	101	84	86	61	64	78	87	host	gene-R0792_RS28200	False	
gene-R0792_RS05470	92	129	129	110	35	70	46	49	13	14	18	13	host	gene-R0792_RS05470_gene_phzC	False	
gene-R0792_RS08960	1	0	0	0	1	0	1	0	1	0	0	0	host	gene-R0792_RS08960_gene_radC	False	
gene-R0792_RS08120	462	567	559	445	299	487	415	366	340	211	340	286	host	cas3f	False	
gene-R0792_RS20300	8	11	12	8	4	11	9	12	24	10	28	17	host	speB	False	
gene-R0792_RS22765	2	0	0	0	0	2	0	1	3	1	4	1	host	gene-R0792_RS22765	False	
gene-R0792_RS05690	79	83	62	58	48	82	63	45	51	41	62	48	host	gene-R0792_RS05690	False	
gene-R0792_RS26285	15	17	19	17	22	18	20	25	33	21	40	35	host	gene-R0792_RS26285	False	
gene-R0792_RS09175	346	467	427	335	245	514	392	385	320	210	306	302	host	gene-R0792_RS09175	False	
gene-R0792_RS13300	16	12	24	14	4	10	14	14	20	16	27	13	host	gene-R0792_RS13300_gene_phnE	False	
gene-R0792_RS17130	6	10	9	5	4	9	17	14	14	14	14	11	host	gene-R0792_RS17130	False	
gene-R0792_RS28935	112	159	184	157	60	224	193	141	260	97	189	125	host	gene-R0792_RS28935	False	
gene-R0792_RS07945	135	147	149	114	94	213	184	150	232	134	238	183	host	fpvR	False	
gene-R0792_RS18025	8	8	9	8	5	4	8	5	6	0	3	2	host	gene-R0792_RS18025	False	
gene-R0792_RS21700	39	51	50	54	14	42	41	30	34	10	26	20	host	gene-R0792_RS21700	False	
gene-R0792_RS04015	2	5	4	2	3	4	5	3	6	1	5	0	host	gene-R0792_RS04015	False	
gene-R0792_RS19070	58	66	48	52	48	81	78	64	119	45	76	78	host	gene-R0792_RS19070	False	
gene-R0792_RS10120	111	144	146	89	63	137	114	114	136	87	142	97	host	gene-R0792_RS10120	False	
gene-R0792_RS30175	126	90	95	72	56	109	92	75	106	61	96	80	host	gene-R0792_RS30175	False	
gene-R0792_RS16960	138	178	144	146	82	161	147	108	164	69	118	91	host	rlmH	False	
gene-R0792_RS09585	340	398	468	313	182	512	428	273	306	161	280	206	host	nuoN	False	
gene-R0792_RS23735	10	12	14	10	5	11	10	4	17	4	9	10	host	gene-R0792_RS23735	False	
gene-R0792_RS07365	24	32	18	20	12	17	17	12	17	6	16	18	host	gene-R0792_RS07365	False	
gene-R0792_RS08795	43	64	60	55	18	59	53	47	73	35	55	33	host	gene-R0792_RS08795	False	
gene-R0792_RS29845	151	170	194	153	112	214	220	144	280	217	302	284	host	gene-R0792_RS29845	False	
gene-R0792_RS02810	12	11	19	11	11	11	9	8	11	6	10	7	host	gene-R0792_RS02810	False	
gene-R0792_RS07580	11	11	12	8	5	10	14	14	14	11	11	2	host	gene-R0792_RS07580	False	
gene-R0792_RS13180	310	320	290	258	227	403	292	296	417	337	494	406	host	gene-R0792_RS13180	False	
gene-R0792_RS28310	219	232	221	195	135	270	214	211	241	146	257	235	host	gene-R0792_RS28310	False	
gene-R0792_RS05380	33	30	30	23	6	31	28	19	18	7	30	22	host	gene-R0792_RS05380	False	
gene-R0792_RS04775	326	326	391	277	169	371	288	272	272	167	251	227	host	rraA	False	
gene-R0792_RS19475	25	53	47	42	26	59	47	34	50	17	36	25	host	gene-R0792_RS19475	False	
gene-R0792_RS20270	35	37	36	33	21	43	32	26	16	15	24	17	host	gene-R0792_RS20270	False	
gene-R0792_RS14215	44	39	47	42	10	49	35	22	48	23	28	25	host	gene-R0792_RS14215	False	
gene-R0792_RS19285	26	44	44	36	25	46	43	44	69	32	62	33	host	gene-R0792_RS19285	False	
gene-R0792_RS25785	96	88	110	66	59	139	106	90	106	76	113	102	host	gene-R0792_RS25785	False	
gene-R0792_RS21050	24	20	20	20	4	23	31	16	42	11	38	7	host	pcaQ	False	
gene-R0792_RS20730	14	17	17	17	9	19	18	15	22	9	17	12	host	gene-R0792_RS20730	False	
gene-R0792_RS04155	61	70	76	69	34	77	49	59	36	42	53	39	host	gene-R0792_RS04155	False	
gene-R0792_RS21320	106	105	91	63	59	82	78	57	57	55	61	62	host	gene-R0792_RS21320	False	
gene-R0792_RS21520	122	149	159	132	83	229	189	137	252	149	274	174	host	gene-R0792_RS21520	False	
gene-R0792_RS21765	44	47	31	41	31	37	36	37	39	13	30	16	host	gene-R0792_RS21765	False	
gene-R0792_RS13810	328	362	310	286	315	520	395	375	483	327	479	395	host	gene-R0792_RS13810	False	
gene-R0792_RS04805	67	51	61	43	61	128	109	90	101	55	104	106	host	gene-R0792_RS04805_gene_cobA	False	
gene-R0792_RS14890	188	221	176	187	109	269	221	158	259	148	237	215	host	rnhB	False	
gene-R0792_RS26555	198	219	205	197	83	223	204	176	235	110	195	142	host	hemA	False	
gene-R0792_RS27985	6	11	20	10	3	18	7	8	16	5	13	9	host	pxpB	False	
gene-R0792_RS17470	229	307	279	213	170	330	293	201	322	150	264	202	host	gene-R0792_RS17470	False	
gene-R0792_RS12345	518	537	593	494	268	675	564	469	625	340	502	427	host	gene-R0792_RS12345	False	
gene-R0792_RS14075	30	35	40	22	19	43	30	32	46	19	35	24	host	gene-R0792_RS14075	False	
gene-R0792_RS29290	23	17	26	19	13	39	20	10	16	12	19	13	host	gene-R0792_RS29290	False	
gene-R0792_RS11780	162	154	190	123	75	198	144	131	188	101	169	123	host	gene-R0792_RS11780	False	
gene-R0792_RS04470	48	55	65	55	15	46	43	28	43	19	38	28	host	exsE	False	
gene-R0792_RS10170	61	48	32	46	29	73	40	56	52	33	60	48	host	gene-R0792_RS10170	False	
gene-R0792_RS03540	22	15	26	23	14	32	35	25	24	14	26	27	host	gene-R0792_RS03540	False	
gene-R0792_RS06030	167	183	193	175	83	197	145	109	183	76	134	106	host	liuD	False	
gene-R0792_RS17465	105	112	131	95	60	151	112	82	125	101	116	103	host	gene-R0792_RS17465	False	
gene-R0792_RS18955	91	91	91	94	48	132	112	81	121	65	110	78	host	gene-R0792_RS18955	False	
gene-R0792_RS19610	152	184	180	165	87	262	189	176	344	167	251	221	host	gene-R0792_RS19610	False	
gene-R0792_RS14440	55	67	93	82	27	51	53	45	54	17	27	36	host	arnC	False	
gene-R0792_RS10280	10	18	19	14	5	12	9	7	15	6	18	6	host	gene-R0792_RS10280	False	
gene-R0792_RS19230	79	116	112	88	56	130	120	80	173	98	156	118	host	bioB	False	
gene-R0792_RS29225	1	4	1	0	0	0	1	2	5	1	3	1	host	gspH	False	
gene-R0792_RS18705	274	320	286	261	154	465	365	249	442	206	361	293	host	gene-R0792_RS18705	False	
gene-R0792_RS13980	15	12	11	11	4	7	8	9	15	7	8	15	host	ssuE	False	
gene-R0792_RS16870	33	38	29	36	9	47	47	21	49	21	37	19	host	gene-R0792_RS16870	False	
gene-R0792_RS21325	6	9	9	5	3	2	7	2	2	5	5	3	host	gene-R0792_RS21325	False	
gene-R0792_RS27705	89	98	97	69	100	109	76	79	72	71	106	80	host	gene-R0792_RS27705	False	
gene-R0792_RS08970	209	345	308	302	249	358	325	329	344	317	410	330	host	gene-R0792_RS08970	False	
gene-R0792_RS17455	15	13	24	19	9	16	19	8	34	9	19	11	host	gene-R0792_RS17455	False	
gene-R0792_RS03265	74	56	57	62	29	76	68	43	105	35	61	38	host	gene-R0792_RS03265	False	
gene-R0792_RS14705	79	94	84	78	36	100	94	76	102	50	78	69	host	gene-R0792_RS14705	False	
gene-R0792_RS11130	1	4	1	3	2	5	7	4	4	4	4	1	host	gene-R0792_RS11130	False	
gene-R0792_RS04235	11	20	12	17	7	22	25	8	16	13	26	13	host	gene-R0792_RS04235_gene_tagH	False	
gene-R0792_RS06710	0	1	4	1	0	2	3	0	3	2	3	5	host	gene-R0792_RS06710	False	
gene-R0792_RS00335	48	43	59	42	32	72	64	52	54	24	59	43	host	gene-R0792_RS00335	False	
gene-DMS3-48	10	8	11	7	13	28	21	14	71	61	69	59	phage	gene-DMS3-48	False	
gene-R0792_RS17435	5	7	2	1	0	1	5	3	1	0	0	2	host	gene-R0792_RS17435	False	
gene-R0792_RS25285	4	5	11	5	8	8	11	10	13	7	12	12	host	mdlC	False	
gene-R0792_RS06745	4	4	3	8	2	6	7	1	3	2	2	5	host	gene-R0792_RS06745	False	
gene-R0792_RS05005	272	296	432	305	191	372	345	295	431	247	388	254	host	gene-R0792_RS05005	False	
gene-R0792_RS28905	206	248	251	172	127	293	219	235	255	102	178	182	host	gene-R0792_RS28905_gene_pyk	False	
gene-R0792_RS17760	8	8	11	6	2	10	10	7	13	8	4	9	host	gene-R0792_RS17760	False	
gene-R0792_RS09330	12	19	22	18	12	22	15	16	18	9	34	14	host	gene-R0792_RS09330	False	
gene-R0792_RS16715	20	18	31	27	7	24	16	17	27	24	37	16	host	gene-R0792_RS16715	False	
gene-R0792_RS11450	268	260	238	229	155	284	266	240	301	191	319	260	host	gene-R0792_RS11450	False	
gene-R0792_RS06255	5	3	5	2	0	10	7	6	5	2	4	4	host	gene-R0792_RS06255	False	
gene-R0792_RS14415	51	47	39	37	28	52	43	41	36	25	24	38	host	gene-R0792_RS14415	False	
gene-R0792_RS13815	35	54	50	50	20	99	69	50	98	37	69	47	host	gene-R0792_RS13815	False	
gene-R0792_RS04915	220	180	176	200	154	212	174	184	156	123	169	149	host	gene-R0792_RS04915	False	
gene-R0792_RS11250	12	9	12	12	6	12	16	7	18	16	16	9	host	gene-R0792_RS11250	False	
gene-R0792_RS29005	290	360	342	301	197	374	397	276	337	215	362	274	host	pctB	False	
gene-R0792_RS06015	341	419	477	342	170	481	404	291	377	221	429	315	host	hmgA	False	
gene-R0792_RS15730	1	0	2	1	0	1	0	1	1	1	3	0	host	gene-R0792_RS15730	False	
gene-R0792_RS07290	19	26	25	26	11	41	35	25	34	26	34	37	host	gene-R0792_RS07290	False	
gene-R0792_RS17070	158	168	157	117	112	213	166	164	193	115	220	189	host	gene-R0792_RS17070	False	
gene-R0792_RS10210	77	69	67	73	29	85	66	58	41	33	50	33	host	gene-R0792_RS10210	False	
gene-DMS3-10	11	19	22	10	62	131	98	77	137	93	113	129	phage	gene-DMS3-10	False	
gene-R0792_RS12070	319	387	379	401	132	449	382	304	495	212	372	279	host	gene-R0792_RS12070	False	
gene-R0792_RS26735	100	89	93	82	46	115	105	98	139	88	117	130	host	gene-R0792_RS26735	False	
gene-R0792_RS13890	23	17	18	17	8	18	25	13	24	14	16	19	host	gene-R0792_RS13890	False	
gene-R0792_RS02415	2	7	5	9	0	2	15	5	12	3	5	6	host	phnW	False	
gene-R0792_RS03415	79	89	80	78	39	81	56	82	66	41	72	57	host	gene-R0792_RS03415	False	
gene-R0792_RS04545	110	126	116	106	52	155	109	82	124	76	131	93	host	bglX	False	
gene-R0792_RS20230	127	142	160	116	62	134	128	108	101	76	83	93	host	potA	False	
gene-R0792_RS02850	12	14	17	12	6	10	17	13	22	5	19	11	host	gene-R0792_RS02850	False	
gene-R0792_RS05190	10	9	7	13	4	13	8	9	17	5	11	10	host	gene-R0792_RS05190	False	
gene-R0792_RS17365	8	8	3	5	9	10	4	10	11	7	15	6	host	cupB2	False	
gene-R0792_RS28105	43	48	59	44	17	47	38	38	61	36	55	37	host	gene-R0792_RS28105	False	
gene-R0792_RS25380	15	14	19	18	6	25	18	17	22	5	11	7	host	gene-R0792_RS25380	False	
gene-R0792_RS19350	4	7	3	1	4	8	2	6	1	0	1	1	host	gene-R0792_RS19350	False	
gene-R0792_RS16330	6	8	6	6	2	3	8	3	15	1	3	2	host	gene-R0792_RS16330	False	
gene-R0792_RS08645	1	1	1	0	1	2	1	0	0	0	1	0	host	gene-R0792_RS08645	False	
gene-R0792_RS08495	103	115	110	121	113	154	129	121	149	122	179	135	host	gene-R0792_RS08495	False	
gene-R0792_RS09010	29	22	22	28	16	34	27	23	31	18	34	29	host	gene-R0792_RS09010	False	
gene-R0792_RS12550	133	103	126	100	44	120	106	82	115	78	128	100	host	gene-R0792_RS12550	False	
gene-R0792_RS27465	15	18	9	11	10	16	10	11	12	5	12	15	host	gene-R0792_RS27465	False	
gene-R0792_RS22060	470	564	433	397	371	585	529	517	529	345	525	425	host	gene-R0792_RS22060	False	
gene-R0792_RS15280	178	176	241	185	94	202	158	121	194	86	184	157	host	gene-R0792_RS15280	False	
gene-R0792_RS24000	28	17	25	23	12	27	37	16	40	21	30	21	host	gene-R0792_RS24000	False	
gene-R0792_RS05385	16	16	10	9	11	23	17	17	20	9	22	16	host	gene-R0792_RS05385	False	
gene-R0792_RS13325	11	6	13	11	6	14	21	16	16	5	14	8	host	gene-R0792_RS13325	False	
gene-R0792_RS29615	64	94	146	93	30	60	71	46	73	35	62	38	host	gene-R0792_RS29615	False	
gene-R0792_RS13950	30	38	38	39	13	52	34	31	52	33	52	32	host	gene-R0792_RS13950	False	
gene-R0792_RS17965	12	18	18	13	4	14	18	5	18	9	15	14	host	mexH	False	
gene-R0792_RS06840	51	56	42	39	36	74	50	59	46	30	40	52	host	gene-R0792_RS06840	False	
gene-R0792_RS19160	6	3	5	4	2	0	5	1	3	1	1	4	host	gene-R0792_RS19160	False	
gene-R0792_RS20455	79	77	69	65	63	85	62	67	66	41	68	71	host	gene-R0792_RS20455	False	
gene-R0792_RS05375	38	28	32	28	8	28	36	21	24	8	22	24	host	ndhC	False	
gene-R0792_RS06210	17	19	18	17	5	18	13	5	8	9	15	10	host	cmrA	False	
gene-R0792_RS02480	154	152	164	114	122	188	160	137	152	78	156	130	host	gene-R0792_RS02480	False	
gene-R0792_RS23855	25	22	22	22	9	29	29	14	32	15	24	27	host	gene-R0792_RS23855	False	
gene-R0792_RS05730	2	9	11	7	3	7	8	4	11	8	5	4	host	gene-R0792_RS05730	False	
gene-R0792_RS15450	287	330	298	305	157	398	342	289	448	238	369	296	host	gene-R0792_RS15450	False	
gene-R0792_RS25570	128	138	135	126	69	133	105	105	111	69	123	70	host	gene-R0792_RS25570	False	
gene-R0792_RS10865	34	57	37	34	21	34	32	30	39	20	39	37	host	gene-R0792_RS10865	False	
gene-R0792_RS25980	364	369	415	310	173	441	384	309	351	201	372	271	host	gene-R0792_RS25980	False	
gene-R0792_RS07295	1	6	7	3	2	8	0	0	6	0	5	2	host	gene-R0792_RS07295	False	
gene-R0792_RS12480	74	79	63	45	41	65	64	48	56	42	60	62	host	gene-R0792_RS12480	False	
gene-R0792_RS14100	20	20	35	32	9	30	26	16	36	14	24	25	host	gene-R0792_RS14100	False	
gene-R0792_RS01095	91	129	113	109	38	128	117	88	165	57	111	91	host	gene-R0792_RS01095	False	
gene-R0792_RS17915	4	8	4	8	3	4	9	2	5	3	5	3	host	bfiR	False	
gene-R0792_RS13115	46	54	37	55	16	52	61	47	60	24	30	27	host	gene-R0792_RS13115	False	
gene-R0792_RS01140	162	184	137	156	212	264	176	200	160	114	162	161	host	flgC	False	
gene-R0792_RS24885	7	9	6	9	5	12	9	4	17	3	12	12	host	gene-R0792_RS24885	False	
gene-R0792_RS23815	11	17	20	30	9	20	20	16	21	9	15	9	host	gene-R0792_RS23815	False	
gene-R0792_RS21850	303	363	384	298	225	466	386	344	422	270	402	297	host	mnmE	False	
gene-R0792_RS02065	87	115	109	90	40	105	96	53	79	58	82	69	host	gene-R0792_RS02065	False	
gene-R0792_RS08510	6	3	7	0	2	3	6	3	8	1	4	1	host	gene-R0792_RS08510	False	
gene-R0792_RS13795	11	4	12	9	5	7	8	6	12	9	11	10	host	gene-R0792_RS13795	False	
gene-R0792_RS13885	58	71	78	65	42	147	95	81	63	25	33	32	host	gene-R0792_RS13885	False	
gene-R0792_RS09775	400	459	434	362	235	494	421	410	501	361	541	448	host	gene-R0792_RS09775_gene_tssI	False	
gene-R0792_RS07470	13	22	22	22	9	23	30	18	35	10	23	25	host	gene-R0792_RS07470	False	
gene-R0792_RS14395	4	7	2	6	2	4	5	5	3	1	7	2	host	algE	False	
gene-R0792_RS18685	50	71	62	64	44	64	62	51	167	160	232	196	host	gene-R0792_RS18685	False	
gene-R0792_RS02005	5	8	14	6	2	13	5	5	15	2	10	13	host	gene-R0792_RS02005	False	
gene-R0792_RS09105	316	381	327	302	241	464	357	327	396	232	390	297	host	gene-R0792_RS09105	False	
gene-R0792_RS04720	65	83	74	69	63	90	66	69	82	50	86	85	host	gene-R0792_RS04720	False	
gene-R0792_RS00025	47	52	44	36	30	56	65	42	143	129	167	134	host	gene-R0792_RS00025	False	
gene-R0792_RS21295	45	38	43	31	19	63	27	27	41	30	49	35	host	gene-R0792_RS21295	False	
gene-R0792_RS20760	22	31	24	21	10	40	27	19	37	14	24	20	host	gene-R0792_RS20760	False	
gene-R0792_RS17720	8	7	8	2	7	2	6	4	7	3	4	4	host	gene-R0792_RS17720	False	
gene-R0792_RS05175	2	5	7	5	2	8	10	7	6	3	5	7	host	tsi1	False	
gene-R0792_RS29375	23	24	36	26	13	28	17	30	16	8	21	19	host	gene-R0792_RS29375	False	
gene-R0792_RS11540	119	132	119	92	76	151	107	129	84	64	108	81	host	gene-R0792_RS11540	False	
gene-R0792_RS20905	27	29	30	34	8	28	26	19	34	14	20	21	host	gene-R0792_RS20905	False	
gene-R0792_RS11895	68	101	105	84	44	114	85	57	103	36	77	77	host	gene-R0792_RS11895	False	
gene-R0792_RS08630	11	13	18	9	4	12	14	9	22	3	13	15	host	antA	False	
gene-R0792_RS21260	7	8	8	6	4	12	4	3	5	2	6	2	host	gene-R0792_RS21260	False	
gene-DMS3-9	3	11	15	6	15	40	49	19	57	22	37	32	phage	gene-DMS3-9	False	
gene-R0792_RS26945	11	7	9	9	6	6	6	5	16	2	13	13	host	gene-R0792_RS26945	False	
gene-R0792_RS27480	20	28	16	20	6	22	32	17	25	12	19	13	host	gene-R0792_RS27480	False	
gene-R0792_RS06570	20	17	26	20	5	11	19	12	12	7	11	11	host	gene-R0792_RS06570	False	
gene-R0792_RS18945	12	19	24	19	21	30	27	17	22	16	25	23	host	gene-R0792_RS18945	False	
gene-R0792_RS24215	215	183	182	132	136	248	222	184	225	155	241	243	host	gene-R0792_RS24215_gene_gloA	False	
gene-R0792_RS03410	57	58	54	46	38	58	59	49	64	37	50	36	host	gene-R0792_RS03410	False	
gene-R0792_RS24005	151	155	129	145	68	183	136	131	192	113	158	115	host	gene-R0792_RS24005	False	
gene-R0792_RS05700	57	67	84	69	28	64	44	41	50	22	41	42	host	gene-R0792_RS05700	False	
gene-R0792_RS05985	87	113	88	81	20	57	67	47	57	24	48	25	host	bdhA	False	
gene-R0792_RS21265	8	32	19	28	5	11	19	5	12	2	5	7	host	gene-R0792_RS21265	False	
gene-R0792_RS25295	35	40	45	42	11	54	38	26	52	13	33	28	host	gene-R0792_RS25295	False	
gene-R0792_RS01365	45	49	43	55	16	54	50	32	48	21	36	40	host	yfiR	False	
gene-R0792_RS16645	44	49	44	48	13	50	45	38	57	27	56	30	host	gene-R0792_RS16645	False	
gene-R0792_RS17925	46	50	44	51	22	61	49	31	56	33	53	41	host	gene-R0792_RS17925	False	
gene-R0792_RS29095	309	372	357	300	174	487	378	309	435	232	386	280	host	gene-R0792_RS29095	False	
gene-R0792_RS15160	60	77	117	89	17	87	80	41	82	38	58	56	host	gene-R0792_RS15160	False	
gene-R0792_RS22385	45	54	46	52	27	57	50	37	60	34	45	44	host	gene-R0792_RS22385	False	
gene-R0792_RS05485	26	43	59	41	10	30	28	14	15	4	12	5	host	gene-R0792_RS05485_gene_phzF	False	
gene-R0792_RS26925	265	394	451	346	201	432	372	287	478	320	496	385	host	escR	False	
gene-R0792_RS23150	76	79	74	56	48	89	78	52	104	47	84	82	host	gene-R0792_RS23150	False	
gene-R0792_RS16425	7	8	6	7	2	9	10	11	9	6	17	5	host	gene-R0792_RS16425	False	
gene-R0792_RS03360	12	9	16	16	7	18	21	15	31	9	25	19	host	gcl	False	
